attendance_rate,gpa,credits_earned,discipline_incidents,ela_score,math_score,graduated
0.9,2.89,22,1,257.2,255.4,1
0.823,2.79,1,0,259.2,260.9,1
0.904,2.97,6,1,265.8,237.3,1
0.906,3.45,11,1,224.9,220.4,0
0.911,1.74,2,0,262.9,285.7,1
0.864,3.38,21,0,235.3,304.8,1
0.949,2.8,2,0,256.4,259.8,1
0.946,2.68,15,0,245.5,220.9,1
0.845,1.92,22,1,260.0,233.0,1
0.955,3.1,16,0,252.4,261.2,1
1.0,1.35,18,1,188.5,279.5,1
0.929,3.19,6,1,253.6,223.3,1
0.903,1.9,19,1,262.8,247.3,1
0.913,2.83,10,0,258.9,254.3,1
0.951,2.73,1,0,247.9,269.0,1
0.833,3.5,8,1,282.8,242.4,1
0.928,2.69,8,0,256.2,215.6,1
0.9,2.38,12,0,258.8,263.7,1
1.0,2.5,6,1,270.9,274.7,1
0.911,3.56,11,0,257.3,248.2,1
1.0,3.12,10,4,232.0,258.9,1
0.865,2.57,7,1,201.2,239.6,1
0.949,2.66,16,0,240.5,231.4,1
0.936,1.86,7,0,265.2,272.6,1
0.877,3.03,18,1,242.9,258.5,1
0.929,1.74,6,1,266.0,260.8,1
0.981,3.25,20,0,253.0,283.0,1
0.904,2.88,8,0,275.8,226.8,1
0.835,4.0,0,0,244.1,237.9,1
0.919,2.14,3,0,259.4,253.5,1
0.875,2.74,19,0,260.1,237.6,1
0.903,3.88,20,1,280.0,267.2,1
0.916,3.51,5,0,215.9,245.9,1
0.835,2.38,14,0,240.8,228.2,1
0.839,2.93,13,0,267.0,251.4,1
0.944,2.8,3,0,280.9,253.7,1
0.894,2.97,10,1,254.8,270.6,1
0.792,2.38,16,0,244.1,258.6,1
0.959,2.75,23,0,265.1,260.1,1
0.934,1.84,20,0,267.4,257.0,1
0.884,2.88,2,0,242.8,245.9,1
0.854,3.07,5,1,256.6,234.2,1
0.962,2.66,10,1,273.6,256.4,1
0.937,1.83,3,0,287.8,242.7,1
1.0,3.39,13,0,264.9,287.2,1
0.941,3.02,0,0,250.9,279.5,1
0.939,2.36,2,1,248.9,263.9,1
0.912,2.63,1,2,261.1,258.3,1
0.961,1.9,7,0,247.7,248.1,1
0.951,2.18,18,0,253.8,222.3,1
0.983,2.48,4,0,228.8,245.2,1
0.894,3.54,23,1,275.9,252.2,1
0.898,2.42,6,1,227.2,255.0,1
0.896,3.18,1,0,241.4,260.3,1
0.96,2.48,8,1,252.0,270.3,1
0.995,2.95,17,1,289.8,234.8,1
0.897,2.72,2,3,241.5,235.0,1
0.899,3.32,1,1,236.7,281.9,1
0.936,2.48,20,1,239.0,267.0,1
0.908,1.86,14,0,283.2,241.4,1
0.968,1.97,8,0,193.8,247.6,1
0.807,2.48,18,0,229.9,247.7,1
0.879,2.05,20,0,304.6,250.7,1
0.881,3.05,8,1,261.8,260.4,1
0.804,2.52,13,1,227.9,305.8,1
0.872,4.0,0,1,249.2,254.2,1
0.874,1.76,7,0,251.3,264.6,1
0.91,2.92,14,2,266.9,212.9,1
0.976,2.12,4,0,286.8,239.3,1
0.908,2.5,23,0,257.8,277.0,1
0.868,2.88,23,1,239.2,258.9,1
0.917,1.4,6,1,265.7,153.4,1
0.972,2.94,9,1,236.0,264.8,1
0.871,3.94,4,0,229.3,292.2,1
0.874,2.53,12,4,214.8,206.1,0
0.948,2.96,2,0,218.7,283.4,1
0.909,3.41,9,0,232.1,189.0,1
0.952,2.7,13,0,226.4,270.6,1
0.919,2.45,14,0,256.3,249.8,1
0.955,1.43,14,1,226.0,198.3,1
0.868,3.18,5,0,187.1,259.8,1
0.919,2.73,19,0,229.1,275.3,1
0.909,2.19,16,0,240.6,258.0,1
0.859,2.88,18,0,237.9,262.9,1
0.842,2.45,11,1,280.4,240.9,1
0.954,2.48,21,1,237.7,209.0,1
0.902,3.16,9,0,267.6,265.2,1
0.869,2.0,19,1,249.6,288.5,1
0.915,3.43,4,0,249.2,274.9,1
0.976,1.96,5,0,233.3,206.3,1
0.806,2.4,12,1,248.8,216.7,1
0.845,3.95,13,0,234.7,231.4,1
0.874,3.48,17,0,253.4,215.0,1
0.993,2.86,7,1,245.3,251.0,1
0.934,2.24,20,0,231.1,258.7,1
0.958,2.48,7,1,269.8,218.5,1
0.863,2.84,12,1,258.5,267.1,1
0.864,2.82,22,0,241.0,263.2,1
0.942,2.75,12,1,252.9,237.9,1
0.923,2.78,16,0,248.3,246.2,1
0.947,2.67,21,0,232.6,207.1,1
0.911,1.93,23,0,251.4,242.7,1
0.934,2.49,11,1,237.6,250.2,1
0.928,3.35,10,1,231.1,253.7,1
0.959,1.98,4,0,217.5,258.3,1
0.96,2.69,12,0,242.8,255.4,1
0.839,2.31,22,1,261.3,244.2,1
0.808,2.87,11,0,236.1,256.3,1
0.97,2.57,8,1,300.4,272.0,1
0.979,3.69,2,0,267.7,247.9,1
0.869,3.1,9,0,276.1,257.0,1
0.827,2.01,5,1,265.9,245.9,1
0.925,3.2,23,0,287.1,235.8,1
0.967,2.34,12,0,234.3,261.5,1
1.0,2.45,3,0,198.8,237.8,1
0.946,2.99,1,0,241.1,258.5,1
0.901,2.5,20,0,261.2,250.6,1
0.875,3.34,22,0,253.0,243.3,1
0.921,2.34,18,0,255.5,242.8,1
0.905,2.43,2,1,276.4,238.8,1
0.869,2.41,2,0,257.6,213.8,0
1.0,2.46,4,2,266.0,258.4,1
1.0,3.46,18,0,231.2,255.1,1
0.977,3.18,18,0,228.1,268.7,1
0.874,3.83,20,0,282.3,238.3,1
0.963,4.0,2,0,252.0,291.7,1
0.952,2.18,3,0,237.5,241.6,1
0.942,2.84,21,0,237.6,230.7,1
0.982,2.09,22,0,237.0,228.1,1
0.952,2.33,17,1,235.8,211.9,1
0.957,2.42,2,0,224.3,283.7,1
0.952,2.17,1,2,220.0,280.2,1
0.937,2.17,1,0,246.1,263.2,1
0.831,2.71,16,0,238.1,230.3,1
0.924,2.07,20,0,272.1,289.8,1
0.892,3.31,15,1,255.9,242.3,1
0.856,2.25,6,0,255.3,244.1,1
1.0,4.0,18,0,235.1,281.6,1
1.0,2.53,1,0,247.6,264.5,1
0.988,2.84,19,0,257.2,298.4,1
0.933,2.02,21,0,264.3,255.5,1
0.988,3.82,17,1,248.1,241.3,1
0.921,3.47,21,0,271.6,236.5,1
0.93,2.98,14,0,250.2,209.4,1
0.865,1.99,11,0,265.9,243.9,1
0.94,2.93,7,0,240.2,275.2,1
0.923,2.13,22,0,213.7,263.2,1
0.855,3.68,16,1,255.4,250.4,1
0.917,3.29,4,0,264.5,228.1,1
0.916,2.86,22,0,261.5,255.0,1
1.0,1.34,1,0,258.4,272.3,0
0.965,2.21,14,0,243.0,259.5,0
0.921,3.21,4,1,233.9,253.7,1
0.932,3.53,15,0,261.0,232.5,1
0.922,3.47,9,1,258.5,269.1,1
0.91,1.84,10,0,238.8,181.1,1
0.866,2.98,16,0,272.2,258.4,1
0.912,3.41,18,1,232.3,306.5,1
0.883,1.8,9,2,238.3,216.8,1
0.857,2.8,23,3,282.7,244.7,1
0.946,2.96,11,1,267.4,249.8,1
0.94,2.62,3,1,242.8,239.8,1
0.831,1.69,0,1,255.7,272.8,0
0.914,2.6,4,1,253.1,260.4,1
0.97,2.6,16,3,195.1,253.4,1
0.973,2.71,12,1,231.9,267.5,1
0.971,2.46,8,2,249.0,250.4,1
0.922,2.53,11,0,242.9,320.0,1
0.878,2.78,20,0,254.9,253.3,1
0.866,3.07,13,1,272.6,254.3,1
0.937,2.62,1,1,243.6,212.4,1
0.939,2.55,1,0,228.8,238.0,1
0.984,2.86,11,0,256.5,275.2,1
0.975,1.65,9,0,243.5,220.6,1
0.913,3.09,20,1,246.9,202.5,1
0.858,2.8,13,0,244.2,250.7,1
0.904,2.82,18,1,294.8,280.2,1
0.931,3.38,14,1,205.2,250.9,1
0.91,1.63,8,0,242.2,242.6,1
0.891,1.62,15,0,249.9,209.1,1
0.933,2.96,14,0,234.4,259.9,1
0.895,2.8,17,0,268.0,264.5,1
0.889,2.9,4,1,266.3,210.8,1
0.936,2.52,15,0,249.0,275.0,1
0.9,3.2,6,0,244.6,266.8,1
0.932,3.36,18,0,247.8,274.9,1
0.934,3.09,19,1,247.9,262.8,1
0.863,2.64,14,1,248.4,264.4,1
0.896,1.54,22,0,246.2,261.5,1
0.992,3.26,12,0,255.0,269.1,1
0.862,3.53,0,0,265.1,210.0,1
0.814,3.19,14,1,225.4,217.0,1
0.827,2.27,18,0,229.0,233.8,1
0.921,3.2,2,1,215.0,247.1,1
0.922,3.32,2,3,267.3,258.5,1
0.914,3.74,6,1,255.0,257.1,1
0.981,2.27,20,1,260.1,274.6,1
0.786,2.66,12,2,221.4,275.3,1
0.94,3.25,23,2,285.7,230.8,1
0.998,2.83,20,0,237.8,255.2,1
0.864,2.13,13,2,253.4,231.3,0
0.901,3.05,16,0,267.1,245.9,1
0.882,3.15,7,1,230.3,257.1,1
0.875,2.85,2,0,239.1,175.0,1
0.904,2.93,9,0,253.6,303.0,1
0.991,2.64,14,0,307.1,262.5,1
1.0,3.69,4,0,256.0,236.9,1
0.903,2.26,5,1,282.1,292.4,1
1.0,2.45,0,1,274.1,242.4,1
0.922,2.81,17,0,257.4,252.9,0
1.0,3.33,21,0,230.2,239.3,1
0.915,1.9,19,0,271.2,286.3,1
0.927,2.01,9,0,220.0,247.7,1
0.938,1.58,14,0,282.0,253.3,1
1.0,2.82,23,0,254.0,276.5,1
0.963,2.13,14,0,197.0,262.9,1
0.885,2.57,7,1,243.2,248.8,1
0.968,3.2,8,2,263.1,274.4,1
0.902,2.42,17,0,245.3,305.8,1
0.896,2.94,10,0,264.3,257.0,1
0.965,2.62,20,0,233.0,252.6,1
0.922,3.2,20,0,223.9,253.8,1
0.934,3.09,0,0,248.6,278.8,1
0.921,2.38,17,0,250.6,236.8,1
0.937,2.7,8,0,243.0,243.9,1
0.941,3.43,12,1,274.5,216.2,1
0.823,3.04,6,1,233.0,224.0,1
0.953,1.96,8,0,256.3,238.6,1
0.871,3.19,7,0,251.4,248.8,1
0.848,2.15,1,1,218.9,288.9,1
0.917,3.65,18,0,223.6,261.8,1
0.924,3.41,3,0,250.2,229.9,1
0.885,2.97,9,1,289.6,234.0,1
0.962,2.89,4,0,261.6,280.2,1
0.853,2.67,3,1,215.5,274.8,1
0.9,3.21,8,0,187.8,250.6,1
0.891,2.58,22,0,264.7,240.3,1
0.918,2.94,22,0,248.1,274.7,1
0.934,3.32,9,1,272.8,228.1,1
0.87,2.46,12,1,232.4,258.6,1
0.956,2.43,23,1,257.0,300.0,1
0.923,2.08,5,1,266.9,254.5,1
0.825,2.16,22,1,241.1,232.9,1
0.822,1.7,2,1,241.5,259.0,1
0.919,3.24,5,0,250.5,239.7,1
0.909,3.89,8,0,260.9,219.3,1
0.915,3.66,0,0,249.7,265.4,1
0.919,1.82,19,0,269.5,274.6,1
0.931,3.23,20,0,240.8,243.2,1
0.967,3.65,9,0,223.4,241.7,1
0.864,2.53,20,0,289.5,228.8,1
0.861,2.86,18,0,237.9,246.7,1
0.865,1.6,19,1,238.6,237.6,0
0.934,2.96,19,1,248.7,227.8,1
0.982,2.16,13,0,251.3,291.6,1
0.898,2.92,2,0,242.3,260.3,1
0.795,1.86,22,1,249.7,262.6,1
0.835,3.13,14,1,249.2,269.4,1
0.878,3.41,21,0,253.5,267.0,1
0.892,2.33,23,0,202.9,240.9,1
0.9,2.12,4,1,287.6,256.0,1
0.922,1.51,9,0,247.1,244.1,1
0.904,2.64,4,0,261.6,259.6,1
0.972,2.45,1,0,222.4,257.5,1
0.886,1.87,23,0,240.6,241.6,1
0.877,3.07,22,1,236.6,220.8,1
0.944,2.53,22,0,279.4,253.2,1
0.843,2.15,21,1,238.3,245.5,1
0.939,2.47,15,0,265.2,208.4,1
0.925,3.44,12,2,237.0,261.2,1
0.913,3.16,23,0,240.9,271.2,1
0.999,2.72,13,1,245.1,305.6,1
0.889,3.17,15,3,275.7,241.4,1
1.0,2.1,5,0,212.2,238.1,1
0.909,2.82,17,1,223.7,225.6,1
0.856,2.89,19,0,211.1,254.6,1
0.923,2.52,16,1,228.2,254.5,1
0.866,3.06,11,0,233.8,232.2,1
0.882,2.33,4,0,217.7,246.2,1
0.94,3.11,0,0,235.3,206.5,1
0.948,3.13,15,0,209.7,270.4,1
0.889,1.05,16,0,229.6,233.0,0
0.969,3.51,18,1,274.0,249.2,1
0.978,0.97,22,0,258.1,218.6,1
0.992,2.43,11,0,253.7,237.2,1
0.946,3.42,19,1,229.9,243.8,1
0.988,2.61,17,1,219.3,249.8,1
0.826,1.92,6,1,227.2,260.6,1
0.904,2.14,20,0,249.1,281.7,1
0.877,3.42,1,1,267.4,266.1,1
0.926,1.65,14,0,268.0,271.2,1
0.891,3.48,22,0,262.6,281.8,1
0.912,2.77,15,0,235.2,262.5,1
1.0,2.08,22,0,250.5,249.2,1
0.912,2.45,1,1,243.6,272.2,1
0.941,2.19,12,0,246.0,273.6,1
0.908,3.32,18,1,290.7,264.3,1
0.924,3.24,15,1,214.8,218.0,1
0.92,1.77,21,0,245.3,231.5,1
0.942,2.56,11,0,274.2,244.0,1
0.978,2.28,16,1,220.7,267.2,1
1.0,3.58,10,1,237.1,249.5,1
0.935,1.99,20,0,239.4,275.0,1
0.949,3.76,2,0,245.5,278.9,1
0.862,2.78,6,0,218.1,276.4,1
0.916,2.1,2,0,261.9,276.5,1
0.967,2.39,16,0,263.3,227.2,1
0.963,2.32,5,0,260.2,260.6,1
0.931,2.04,7,1,232.6,236.6,1
0.964,2.86,20,0,251.7,213.7,1
0.945,2.06,8,0,232.0,243.7,1
0.98,1.49,3,0,243.3,279.1,1
0.934,2.57,0,0,293.1,260.1,0
0.902,1.72,5,1,251.9,294.4,1
0.937,2.35,21,1,226.2,253.9,1
0.773,2.25,13,0,253.6,303.9,1
0.939,2.28,23,1,223.0,253.9,1
0.738,4.0,5,0,226.0,250.5,1
0.834,2.83,8,3,229.2,221.9,1
0.943,2.95,3,0,241.1,274.4,1
0.944,1.73,9,2,268.7,239.0,1
0.862,2.41,13,0,261.6,235.8,0
0.884,2.93,19,0,260.5,278.2,1
0.989,2.19,8,0,228.0,275.5,1
0.896,3.34,18,1,239.2,274.9,1
1.0,2.08,15,0,255.4,242.0,1
0.92,2.63,7,0,237.4,248.9,1
0.94,2.45,21,0,244.4,248.7,1
1.0,2.9,10,0,258.8,267.2,1
0.927,2.42,3,0,243.0,284.2,1
0.87,2.64,23,0,254.5,258.1,1
0.915,2.66,21,1,281.9,293.4,1
0.918,2.36,1,0,246.6,269.7,1
0.852,3.09,21,0,273.6,244.8,1
0.907,2.94,22,0,261.2,268.2,1
0.883,2.75,19,0,220.7,287.5,1
0.966,2.54,6,0,228.0,294.0,1
0.922,3.28,15,0,233.3,276.1,1
0.906,2.66,12,0,232.9,250.6,1
0.915,2.62,14,1,248.2,245.2,1
0.931,2.86,14,0,262.3,262.7,1
0.951,3.82,15,0,275.1,286.8,1
0.87,2.0,12,0,256.2,259.5,1
0.868,3.26,16,0,241.1,260.0,1
0.975,1.66,12,0,208.4,251.1,1
0.899,2.93,0,0,251.4,242.8,0
0.849,3.75,0,0,250.5,246.4,0
0.942,3.09,22,3,253.7,253.0,1
0.943,2.9,21,0,292.1,287.8,1
0.843,2.46,14,0,274.8,244.7,1
0.931,2.82,4,0,265.7,251.2,1
0.957,2.65,18,0,230.8,231.0,0
0.939,2.33,3,0,239.7,265.8,1
0.952,2.63,9,0,248.1,280.1,1
0.85,2.92,7,0,234.5,285.7,1
0.937,2.34,0,0,260.0,254.5,1
0.905,2.32,19,1,257.1,262.6,1
0.896,1.98,12,1,228.2,246.6,1
0.964,3.03,7,0,273.9,261.6,1
0.994,3.13,12,0,252.0,256.9,1
1.0,2.94,0,0,215.4,251.3,1
0.986,3.38,10,0,249.0,253.0,1
0.915,2.85,12,0,255.6,259.9,1
0.938,3.04,8,1,269.5,243.5,1
0.958,2.98,19,0,243.3,244.7,1
0.926,2.75,5,1,266.6,287.6,1
0.927,2.48,3,0,253.7,309.6,1
0.961,4.0,12,0,223.7,223.5,1
